Ubar,Actual_Mu,Predicted_Mu,Actual_Phase,Predicted_Phase,Delta_Mu
10,-1.0499999999999998,1.25,0.0,1,-2.3
10,1.3500000000000005,7.65,1.0,0,-6.3
10,7.650000000000001,44.75,0.0,1,-37.1
15,-1.0499999999999998,1.25,0.0,1,-2.3
15,1.1500000000000004,12.850000000000001,0.0,1,-11.700000000000001
15,12.850000000000001,17.55,0.0,1,-4.699999999999999
15,17.650000000000002,26.25,1.0,0,-8.599999999999998
15,26.35,34.95,1.0,0,-8.600000000000001
15,35.05,39.25,1.0,0,-4.200000000000003
20,-1.0499999999999998,1.25,0.0,1,-2.3
20,1.1500000000000004,18.05,0.0,0,-16.9
20,17.85,22.150000000000002,0.0,1,-4.300000000000001
20,22.45,36.55,1.0,0,-14.099999999999998
20,36.55,44.25,0.0,1,-7.700000000000003
20,44.05,55.150000000000006,1.0,1,-11.100000000000009
25,-1.0499999999999998,1.25,0.0,1,-2.3
25,1.0500000000000003,23.150000000000002,0.0,0,-22.1
25,22.95,26.950000000000003,0.0,0,-4.0000000000000036
25,27.35,46.75,1.0,0,-19.4
25,46.650000000000006,54.05,1.0,1,-7.3999999999999915
